bookID,title,authors,average_rating,isbn13,language_code,num_pages,publication_date,publisher
28467,Sclerotherapy and vein treatment,Robert A. Weiss/Margaret A. Weiss/Karen L. Beasley,0.0,9780071485425,eng,248,2011,McGraw-Hill Professional Publishing
34762,Legends  Lies  Cherished Myths of World History,Richard Shenkman,3.47,9780060922559,eng,320,2011,William Morrow Paperbacks
11665,Conversations with John Updike,James Plath,3.57,9780878057009,eng,302,2011,University Press of Mississippi
6475,George Washington's Sacred Fire,Peter A. Lillback/Jerry Newcombe,4.18,9780978605261,eng,1200,2011,Providence Forum Press
12240,The Play Soldier,Chet Green,4.5,9781591136446,eng,328,2011,Booklocker.com  Inc.
30029,Tales of Mystery and Madness,Edgar Allan Poe/Gris Grimly,4.34,9780689848377,eng,135,2011,Atheneum
19961,Artesia Volume 1,Mark Smylie,3.98,9781932386226,eng,192,2011,Archaia
8745,Desert Flower,Waris Dirie/Cathleen Miller,4.15,9780688172374,eng,240,2011,William Morrow Paperbacks
35822,Best Ghost and Horror Stories,Bram Stoker/Richard Dalby,3.52,9780486297163,eng,272,2011,Dover Publications
40312,The Rocky Road to Romance (Elsie Hawkins #4),Janet Evanovich,3.67,9780060598891,eng,249,2011,Harper
11949,Uncle Setnakt's Essential Guide to the Left Hand Path,Don Webb,4.37,9781885972101,eng,128,2011,Lodestar Books
36399,Children's Christmas Stories and Poems: In Easy-to-Read Type,Bob Blaisdell/Pat Ronson Stewart,4.5,9780486286563,eng,96,2011,Dover Publications
25401,Maya,Jostein Gaarder/James Anderson,3.6,9780753811467,eng,352,2011,Phoenix
31785,The Will to Power,Friedrich Nietzsche/Walter Kaufmann/R.J. Hollingdale,4.05,9780394704371,eng,575,2011,Vintage Books
45570,Fantastic Mr Fox,David Wood/Roald Dahl,4.09,9780573051333,en-GB,74,2011,Samuel French Ltd
44841,Einstein's Monsters,Martin Amis/Erroll McDonald,3.4,9780679729969,eng,151,2011,Vintage International
28456,Carpenter's Gothic,William Gaddis,3.77,9781843541677,eng,262,2010,Atlantic Books (UK)
9058,Charles Dickens as a Legal Historian,William Holdsworth,4.0,9781886363069,eng,166,2010,Lawbook Exchange  Ltd.
28295,Things: A Story of the Sixties; A Man Asleep,Georges Perec/David Bellos/Andrew Leak,3.98,9781567921571,eng,221,2010,David R. Godine Publisher
17020,13 Little Blue Envelopes (Little Blue Envelope  #1),Maureen Johnson,3.64,9780060541439,eng,322,2010,HarperCollins Publishers
